City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,sabha,27.0377,14.4283,306.12,16,0,4.19,LY,1690239232
177,sinan,34.8262,126.1086,299.21,92,100,4.64,KR,1690239232
178,usogorsk,63.4106,48.6872,285.67,98,100,1.94,RU,1690239233
179,leava,-14.3,-178.1667,299.6,74,61,7.92,WF,1690239233
180,ixtapa,20.7,-105.2,303.28,78,74,2.68,MX,1690239233
181,qaqortoq,60.7167,-46.0333,279.14,92,89,1.45,GL,1690239233
182,tangalle,6.024,80.7911,297.86,90,92,4.74,LK,1690239234
183,holualoa,19.6228,-155.9522,301.23,75,40,5.66,US,1690239234
184,plainview,40.7765,-73.4673,301.62,66,0,5.66,US,1690239234
185,saint-joseph,-21.3667,55.6167,292.36,82,20,3.63,RE,1690239234
186,acapulco de juarez,16.8634,-99.8901,306.05,66,75,3.09,MX,1690239048
187,santana,-0.0583,-51.1817,303.25,74,40,3.09,BR,1690239235
188,isafjordur,66.0755,-23.124,282.78,95,100,2.74,IS,1690239235
189,ust'-kulom,61.6864,53.6902,286.67,97,95,1.1,RU,1690239235
190,kruisfontein,-34.0033,24.7314,278.64,79,0,2.43,ZA,1690239235
191,masterton,-40.9597,175.6575,282.53,81,76,0.89,NZ,1690238960
192,saint-pierre,-21.3393,55.4781,292.97,68,0,2.06,RE,1690239236
193,invercargill,-46.4,168.35,279.98,90,91,6.25,NZ,1690239236
194,sitka,57.0531,-135.33,292.09,68,0,2.57,US,1690239236
195,la passe,45.5549,-0.8967,292.28,83,53,7.03,FR,1690239236
196,vilyuchinsk,52.9306,158.4028,295.3,73,17,4.25,RU,1690239237
197,vallenar,-28.5708,-70.7581,290.22,54,80,1.04,CL,1690239237
198,benoy-yurt,43.69,45.05,294.46,84,100,2.45,RU,1690239237
199,utrik,11.2278,169.8474,301.56,79,95,6.66,MH,1690239237
200,mitchell,43.7094,-98.0298,305.14,48,0,5.14,US,1690239237
201,kapit,2.0167,112.9333,296.5,98,91,0.47,MY,1690239238
202,extrema,-22.8547,-46.3183,290.34,57,30,0.96,BR,1690239238
203,georgetown,5.4112,100.3354,300.11,94,20,0.0,MY,1690239141
204,chonchi,-42.6128,-73.8092,280.99,97,100,3.25,CL,1690239238
205,fisterra,42.9049,-9.2629,290.46,76,47,4.59,ES,1690239238
206,constantia,44.1833,28.65,295.76,74,0,7.7,RO,1690239239
207,carutapera,-1.195,-46.02,297.64,91,11,2.82,BR,1690239239
208,idri,27.5,13.2667,306.21,16,25,4.28,LY,1690239239
209,pimentel,-6.8367,-79.9342,298.31,65,20,5.66,PE,1690239239
210,phulpur,25.55,82.1,304.07,62,73,1.96,IN,1690239239
211,nago,26.5881,127.9761,302.29,77,45,6.73,JP,1690239240
212,ironwood,46.4547,-90.171,298.34,53,0,3.09,US,1690239240
213,phalodi,27.1333,72.3667,304.34,67,94,4.59,IN,1690239240
214,richards bay,-28.783,32.0377,288.52,75,99,2.96,ZA,1690239240
215,remire-montjoly,4.9167,-52.2667,298.17,94,100,0.51,GF,1690239240
216,sulak,43.2734,47.5146,295.25,90,100,5.14,RU,1690239241
217,karakecili,39.5942,33.3778,291.94,71,0,3.39,TR,1690239241
218,veraval,20.9,70.3667,300.29,88,98,8.85,IN,1690239241
219,vilyuysk,63.7553,121.6247,289.64,88,100,3.16,RU,1690239241
220,bamboo flat,11.7,92.7167,300.03,86,98,7.08,IN,1690239241
221,carauari,-4.8828,-66.8958,300.85,53,37,0.3,BR,1690239242
222,krasnovishersk,60.4078,57.082,285.93,99,61,1.7,RU,1690239242
223,guerrero negro,27.9769,-114.0611,298.41,55,90,7.85,MX,1690239242
224,cambria,35.5641,-121.0808,313.58,49,63,3.94,US,1690239242
225,west helena,34.5507,-90.6418,306.01,43,24,2.26,US,1690239243
226,bubaque,11.2833,-15.8333,300.29,81,100,4.82,GW,1690239243
227,biysk,52.5364,85.2072,288.15,75,59,2.99,RU,1690239244
